payload,token,centrality,reqmethod,length,uagent,class,label
rob.star@gmail.com,STR DOT STAR ATR STR DOT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,GET,18,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",normal,normal
2383,INT,1,GET,4,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",normal,normal
"rob.star@gmail.com),(.',.(""(",STR DOT STAR ATR STR DOT STR RPRN CMMA LPRN DOT SQUT CMMA DOT LPRN DQUT LPRN,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,GET,28,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,incorrect
"rob.star@gmail.com'mFrBcF<'"">LJPzEq",STR DOT STAR ATR STR DOT STR SQUT STR LT SQUT DQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,GET,35,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,incorrect
rob.star@gmail.com) AND 7824=8836-- IjZF,STR DOT STAR ATR STR DOT STR RPRN AND INT EQ INT DSCMT STR,0.3076923076923077 0.38461538461538464 0.46153846153846156 0.5384615384615385 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.5384615384615385 0.46153846153846156 0.38461538461538464 0.3076923076923077,GET,40,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com) AND 1456=1456-- clin,STR DOT STAR ATR STR DOT STR RPRN AND INT EQ INT DSCMT STR,0.3076923076923077 0.38461538461538464 0.46153846153846156 0.5384615384615385 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.5384615384615385 0.46153846153846156 0.38461538461538464 0.3076923076923077,GET,40,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com' AND 1548=7351-- Ezwq,STR DOT STAR ATR STR DOT STR SQUT AND INT EQ INT DSCMT STR,0.3076923076923077 0.38461538461538464 0.46153846153846156 0.5384615384615385 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.5384615384615385 0.46153846153846156 0.38461538461538464 0.3076923076923077,GET,40,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com' AND 1456=1456-- yjVc,STR DOT STAR ATR STR DOT STR SQUT AND INT EQ INT DSCMT STR,0.3076923076923077 0.38461538461538464 0.46153846153846156 0.5384615384615385 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.5384615384615385 0.46153846153846156 0.38461538461538464 0.3076923076923077,GET,40,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com) AND 8663=2572 AND (2552=2552,STR DOT STAR ATR STR DOT STR RPRN AND INT EQ INT AND LPRN INT EQ INT,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,GET,48,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com) AND 1456=1456 AND (6994=6994,STR DOT STAR ATR STR DOT STR RPRN AND INT EQ INT AND LPRN INT EQ INT,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,GET,48,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com)) AND 4435=9027 AND ((1272=1272,STR DOT STAR ATR STR DOT STR RPRN RPRN AND INT EQ INT AND LPRN LPRN INT EQ INT,0.2222222222222222 0.2777777777777778 0.3333333333333333 0.38888888888888884 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.38888888888888884 0.3333333333333333 0.2777777777777778 0.2222222222222222,GET,50,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com)) AND 1456=1456 AND ((2937=2937,STR DOT STAR ATR STR DOT STR RPRN RPRN AND INT EQ INT AND LPRN LPRN INT EQ INT,0.2222222222222222 0.2777777777777778 0.3333333333333333 0.38888888888888884 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.38888888888888884 0.3333333333333333 0.2777777777777778 0.2222222222222222,GET,50,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com))) AND 9025=1776 AND (((3112=3112,STR DOT STAR ATR STR DOT STR RPRN RPRN RPRN AND INT EQ INT AND LPRN LPRN LPRN INT EQ INT,0.2 0.25 0.30000000000000004 0.35000000000000003 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.35000000000000003 0.30000000000000004 0.25 0.2,GET,52,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com))) AND 1456=1456 AND (((4040=4040,STR DOT STAR ATR STR DOT STR RPRN RPRN RPRN AND INT EQ INT AND LPRN LPRN LPRN INT EQ INT,0.2 0.25 0.30000000000000004 0.35000000000000003 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.35000000000000003 0.30000000000000004 0.25 0.2,GET,52,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
rob.star@gmail.com AND 1107=3217,STR DOT STAR ATR STR DOT STR AND INT EQ INT,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,GET,32,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B179 Safari/7534.48.3",threat,tautology
