token,centrality,length,label
STR,1,19,threat
INT,1,18,threat
STR RPRN RPRN CMMA CMMA LPRN SQUT DQUT DOT DOT LPRN,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,45,threat
STR SQUT STR LT SQUT DQUT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,46,threat
STR SQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR SQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,77,threat
STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,77,threat
STR SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,83,threat
STR SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,83,threat
STR SQUT RPRN RPRN RPRN AND INT EQ INT AND LPRN LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.2222222222222222 0.2777777777777778 0.3333333333333333 0.38888888888888884 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.38888888888888884 0.3333333333333333 0.2777777777777778 0.2222222222222222,89,threat
STR SQUT RPRN RPRN RPRN AND INT EQ INT AND LPRN LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.2222222222222222 0.2777777777777778 0.3333333333333333 0.38888888888888884 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.4444444444444444 0.38888888888888884 0.3333333333333333 0.2777777777777778 0.2222222222222222,89,threat
